Part Name,HeadBone,TailBone,,Type:,Humanoid
Head,mixamorig6:Head,mixamorig6:HeadTop_End,,,
Neck,mixamorig6:Hips,mixamorig6:Neck,,,
Spine,mixamorig6:LeftUpLeg,mixamorig6:LeftFoot,,,
LeftShoulder,mixamorig6:LeftShoulder,mixamorig6:LeftHandMiddle1,,,
LeftArm,mixamorig6:RightUpLeg,mixamorig6:RightFoot,,,
LeftElbow,mixamorig6:RightShoulder,mixamorig6:RightHandMiddle1,,,
LeftHips,mixamorig6:Hips,mixamorig:LeftLeg,,,
LeftKnee,mixamorig:LeftLeg,mixamorig:LeftFoot,,,
LeftFoot,mixamorig:LeftFoot,mixamorig:LeftToeBase,,,
RightShoulder,mixamorig:RightShoulder,mixamorig:RightArm,,,
RightArm,mixamorig:RightArm,mixamorig:RightForeArm,,,
RightElbow,mixamorig:RightForeArm,mixamorig:RightHand,,,
RightHips,mixamorig:RightUpLeg,mixamorig:RightLeg,,,
RightKnee,mixamorig:RightLeg,mixamorig:RightFoot,,,
RightFoot,mixamorig:RightFoot,mixamorig:RightToeBase,,,
